# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,utilization.gpu,memory.used --format=csv -lms 200" date=2026-09-15T03:36:03+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixB tag=under_vllm_load_r2
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
0, 2026/09/15 03:36:22.019, 4, 16, 2415 MHz, 100 %, 23743 MiB
1, 2026/09/15 03:36:22.020, 4, 16, 2655 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:22.220, 4, 16, 2805 MHz, 100 %, 23759 MiB
1, 2026/09/15 03:36:22.220, 4, 16, 2790 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:22.420, 4, 16, 2805 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:22.421, 4, 16, 2790 MHz, 100 %, 23733 MiB
0, 2026/09/15 03:36:22.621, 4, 16, 2805 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:22.621, 4, 16, 2790 MHz, 100 %, 23753 MiB
0, 2026/09/15 03:36:22.821, 4, 16, 2805 MHz, 100 %, 23721 MiB
1, 2026/09/15 03:36:22.822, 4, 16, 2790 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:23.022, 4, 16, 2805 MHz, 100 %, 23743 MiB
1, 2026/09/15 03:36:23.023, 4, 16, 2790 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:23.223, 4, 16, 2805 MHz, 100 %, 23759 MiB
1, 2026/09/15 03:36:23.223, 4, 16, 2790 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:23.424, 4, 16, 2805 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:23.424, 4, 16, 2790 MHz, 100 %, 23733 MiB
0, 2026/09/15 03:36:23.624, 4, 16, 2805 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:23.625, 4, 16, 2790 MHz, 100 %, 23753 MiB
0, 2026/09/15 03:36:23.825, 4, 16, 2790 MHz, 100 %, 23723 MiB
1, 2026/09/15 03:36:23.825, 4, 16, 2790 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:24.026, 4, 16, 2790 MHz, 100 %, 23747 MiB
1, 2026/09/15 03:36:24.026, 4, 16, 2790 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:24.226, 4, 16, 2505 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:24.226, 4, 16, 2460 MHz, 100 %, 23715 MiB
0, 2026/09/15 03:36:24.427, 4, 16, 2505 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:24.427, 4, 16, 2460 MHz, 100 %, 23737 MiB
0, 2026/09/15 03:36:24.627, 4, 16, 2505 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:24.628, 4, 16, 2460 MHz, 100 %, 23755 MiB
0, 2026/09/15 03:36:24.828, 4, 16, 2400 MHz, 100 %, 23727 MiB
1, 2026/09/15 03:36:24.828, 4, 16, 2535 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:25.028, 4, 16, 2400 MHz, 100 %, 23749 MiB
1, 2026/09/15 03:36:25.029, 4, 16, 2535 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:25.229, 4, 16, 2475 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:25.229, 4, 16, 2415 MHz, 100 %, 23717 MiB
0, 2026/09/15 03:36:25.430, 4, 16, 2475 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:25.430, 4, 16, 2415 MHz, 100 %, 23737 MiB
0, 2026/09/15 03:36:25.630, 4, 16, 2475 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:25.631, 4, 16, 2550 MHz, 100 %, 23755 MiB
0, 2026/09/15 03:36:25.831, 4, 16, 2370 MHz, 100 %, 24105 MiB
1, 2026/09/15 03:36:25.831, 4, 16, 2550 MHz, 100 %, 24041 MiB
0, 2026/09/15 03:36:26.032, 4, 16, 2370 MHz, 100 %, 23620 MiB
1, 2026/09/15 03:36:26.064, 4, 16, 2550 MHz, 100 %, 23620 MiB
0, 2026/09/15 03:36:26.265, 4, 16, 2415 MHz, 100 %, 23620 MiB
1, 2026/09/15 03:36:26.266, 4, 16, 2475 MHz, 100 %, 23620 MiB
0, 2026/09/15 03:36:26.466, 4, 16, 2415 MHz, 100 %, 23620 MiB
1, 2026/09/15 03:36:26.466, 4, 16, 2475 MHz, 100 %, 23620 MiB
